key,"am","ar","bn","de","en","es","fa","fr","hi","it","ja","ko","my","pt","ru","so","tr","uk","ur","zh"
add.item,"እቃ ጨምር","إضافة عنصر","আইটেম যোগ করুন","Artikel hinzufügen","Add Item","Agregar Artículo","افزودن مورد","Ajouter un Article","आइटम जोड़ें","Aggiungi Oggetto","アイテムを追加","항목 추가","ပစ္စည်းထည့်ပါ","Adicionar Item","Добавить товар","Ku dar shay","Yeni Ürün Ekle","Додати товар","آئٹم شامل کریں","添加物品"
afad,"AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD : 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD: 122","AFAD：122"
alerts,"ማስጠንቀቂያዎች","التنبيهات","সতর্কতা","Warnungen","Alerts","Alertas","هشدارها","Alertes","चेतावनियां","Avvisi","アラート","알림","အသိပေးချက်များ","Alertas","Оповещения","Ogeysiisyada","Uyarılar","Сповіщення","الرٹس","警报"
app.name,"የአስቸኳይ ጥቅል የመከታተያ","متتبع حقيبة الطوارئ","জরুরি কিট ট্র্যাকার","Notfallset-Tracker","Emergency Kit Tracker","Rastreador de Kit de Emergencia","ردیاب کیت اضطراری","Traqueur de Kit d'Urgence","आपातकालीन किट ट्रैकर","Tracciatore Kit di Emergenza","非常用キットトラッカー","비상 키트 트래커","အရေးပေါ်ကိရိယာ ခြေရာခံ","Rastreador de Kit de Emergência","Трекер аварийной сумки","Kitaabka Xaalad-dhaafka ah ee Xaqiijinta","Acil Durum Takip","Трекер аварійного комплекту","ہنگامی کٹ ٹریکر","应急包追踪器"
appInfo.build,,,,,"Build",,,,,,,,,,,,"Derleme",,,
appInfo.dataStorage,,,,,"Your data stays on this device only. Remember to create regular backups from the Data Management section.",,,,,,,,,,,,"Verileriniz yalnızca bu cihazda tutulur. Veri Yönetimi bölümünden düzenli yedek almayı unutmayın.",,,
appInfo.description,,,,,"Emergency Kit Tracker is designed to keep your kits, depots, and supplies organised in one place.",,,,,,,,,,,,"Acil Durum Takip, acil durum çantalarınızı, depolarınızı ve ürünlerinizi tek noktadan yönetmenizi sağlamak için tasarlandı.",,,
appInfo.package,,,,,"Package Name",,,,,,,,,,,,"Paket Adı",,,
appInfo.support,,,,,"Visit Settings > Help & Support for assistance or to share feedback.",,,,,,,,,,,,"Destek ve geri bildirim için Ayarlar > Yardım & Destek adımlarını izleyin.",,,
appInfo.title,,,,,"App Information",,,,,,,,,,,,"Uygulama Bilgileri",,,
appInfo.version,,,,,"Version",,,,,,,,,,,,"Sürüm",,,
bag.car,"የመኪና ጥቅል","حقيبة السيارة","গাড়ির কিট","Auto-Kit","Car Kit","Kit del Coche","کیت خودرو","Kit Voiture","कार किट","Kit Auto","車用キット","자동차 키트","ကားတွင်းကိရိယာ",,"Автомобильная сумка","Kitaabka Baabuurka","Araba Çantası","Автомобільний комплект","کار کٹ","车载包"
bag.create.button,"ቦርሳ ፍጠር","إنشاء الحقيبة","ব্যাগ তৈরি করুন","Tasche erstellen","Create Bag","Crear Bolsa","ایجاد کیف","Créer le Sac","बैग बनाएं","Crea Borsa","バッグを作成","가방 만들기","အိတ်ဖန်တီးပါ",,"Создать сумку","Abuur Kiiish","Çantayı Oluştur","Створити сумку","بیگ بنائیں","创建包袋"
bag.create.name,"የቦርሳ ስም","اسم الحقيبة","ব্যাগের নাম","Taschenname","Bag Name","Nombre de la Bolsa","نام کیف","Nom du Sac","बैग का नाम","Nome Borsa","バッグ名","가방 이름","အိတ်အမည်",,"Название сумки","Magaca Kiishka","Çanta Adı","Назва сумки","بیگ کا نام","包袋名称"
bag.create.name_placeholder,"ምሳሌ: የቤት አስቸኳይ ጥቅል","مثال: حقيبة طوارئ المنزل","যেমন: বাড়ির জরুরি কিট","Z.B: Notfallset für zu Hause","E.g: Home Emergency Kit","Ej: Kit de Emergencia del Hogar","مثال: کیت اضطراری خانه","Ex: Kit d'Urgence Maison","उदा: घर का आपातकालीन किट","Es: Kit di Emergenza Casa","例：ホーム非常用キット","예: 홈 비상 키트","ဥပမာ - အိမ်တွင်းအရေးပေါ်ကိရိယာ",,"Например: Домашняя аварийная сумка","Tusaale: Kitaabka Xaalad-dhaafka ah ee Guriga","Örn: Ev Acil Durum Çantası","Приклад: Домашній аварійний комплект","مثال: گھر کا ہنگامی کٹ","例如：家庭应急包"
bag.create.notes,"ማስታወሻዎች (አማራጭ)","ملاحظات (اختيارية)","নোট (ঐচ্ছিক)","Notizen (Optional)","Notes (Optional)","Notas (Opcional)","یادداشت‌ها (اختیاری)","Notes (Optionnel)","नोट्स (वैकल्पिक)","Note (Opzionale)","メモ（オプション）","메모 (선택사항)","မှတ်စုများ (စိတ်ကြိုက်)",,"Примечания (необязательно)","Fiiro gaar ah (Doorasho)","Notlar (İsteğe Bağlı)","Примітки (необов'язково)","نوٹس (اختیاری)","备注（可选）"
bag.create.notes_placeholder,"የዚህ ቦርሳ ይዘት ወይም አካባቢ ማስታወሻዎችን ጨምር...","إضافة ملاحظات حول محتويات هذه الحقيبة أو موقعها...","এই ব্যাগের বিষয়বস্তু বা অবস্থান সম্পর্কে নোট যোগ করুন...","Notizen über den Inhalt oder Standort dieser Tasche hinzufügen...","Add notes about this bag's contents or location...","Agregar notas sobre el contenido o ubicación de esta bolsa...","یادداشت‌هایی درباره محتوا یا مکان این کیف اضافه کنید...","Ajouter des notes sur le contenu ou l'emplacement de ce sac...","इस बैग की सामग्री या स्थान के बारे में नोट्स जोड़ें...","Aggiungi note sul contenuto o posizione di questa borsa...","このバッグの内容や場所についてのメモを追加...","이 가방의 내용이나 위치에 대한 메모를 추가...","ဤအိတ်အတွင်းပါဝင်မှုများ သို့မဟုတ် တည်နေရာ အကြောင်း မှတ်စုများထည့်ပါ...",,"Добавить примечания о содержимом или местоположении этой сумки...","Ku dar fiiro gaar ah ku saabsan waxa ku jira ama meelaha kiishkan...","Bu çantanın içeriği veya konumu hakkında notlar ekleyin...","Додайте примітки про вміст або місцезнаходження цієї сумки...","اس بیگ کے مواد یا مقام کے بارے میں نوٹس شامل کریں...","添加关于此包袋内容或位置的备注..."
bag.create.success,,,,,"{name} bag created!",,,,,,,,,,,,"{name} çantası kaydedildi!",,,
bag.create.title,"አዲስ ቦርሳ","حقيبة جديدة","নতুন ব্যাগ","Neue Tasche","New Bag","Nueva Bolsa","کیف جدید","Nouveau Sac","नया बैग","Nuova Borsa","新しいバッグ","새 가방","အိတ် အသစ်",,"Новая сумка","Kiiish Cusub","Yeni Çanta","Нова сумка","نیا بیگ","新包袋"
bag.home,"የቤት አስቸኳይ ጥቅል","حقيبة طوارئ المنزل","বাড়ির জরুরি কিট","Notfallset für zu Hause","Home Emergency Kit","Kit de Emergencia del Hogar","کیت اضطراری خانه","Kit d'Urgence Maison","घर का आपातकालीन किट","Kit di Emergenza Casa","ホーム非常用キット","홈 비상 키트","အိမ်တွင်းအရေးပေါ်ကိရိယာ",,"Домашняя аварийная сумка","Kitaabka Xaalad-dhaafka ah ee Guriga","Ev Acil Durum Çantası","Домашній аварійний комплект","گھر کا ہنگامی کٹ","家庭应急包"
bags.empty,,,,,"You have not created any bags yet. Start by adding a new one.",,,,,,,,,,,,"Henüz çanta oluşturmadınız. Yeni bir çanta ekleyerek başlayın.",,,
bags.title,,,,,"Emergency Bags",,,,,,,,,,,,"Acil Durum Çantaları",,,
blanket,"ምንድ","بطانية","কম্বল","Decke","Blanket","Manta","پتو","Couverture","कंबल","Coperta","毛布","담요","ခြောက်","Cobertor","Одеяло","Shashad","Battaniye","Ковдра","کمبل","毯子"
categories.addNew,,,,,"Add New Category",,,,,,,,,,,,"Yeni Kategori Ekle",,,
categories.fixed.battery_radio,"ባትሪ ራዲዮ","راديو يعمل بالبطارية","ব্যাটারি চালিত রেডিও","Batteriebetriebenes Radio","Battery-Powered Radio","Radio a pilas","رادیوی باتری‌خور","Radio à piles","बैटरी रेडियो","Radio a batterie","電池式ラジオ","배터리 라디오","ဘက်ထရီရေဒီယို","Rádio a pilhas","Радио на батарейках","Raadiyo baytari ku shaqeeya","Pilli Radyo","Радіо на батарейках","بیٹری والا ریڈیو","电池收音机"
categories.fixed.blanket,"ቢላ","بطانية","কম্বল","Decke","Blanket","Manta","پتو","Couverture","कंबल","Coperta","毛布","담요","စောင်","Cobertor","Одеяло","Bustayaal","Battaniye","Ковдра","کمبل","毯子"
categories.fixed.canned_food,"በታንኳ የተጠበቀ ምግብ","طعام معلب","ক্যানজাত খাবার","Konserven","Canned Food","Comida enlatada","غذای کنسروی","Conserves","डिब्बाबंद भोजन","Cibo in scatola","缶詰食品","통조림 식품","တင်းပုပ်အစားအစာ","Alimentos enlatados","Консервы","Cunto qasacadaysan","Konserve Gıdalar","Консерви","ڈبہ بند کھانا","罐头食品"
categories.fixed.cash,"ጥሬ ገንዘብ","نقد","নগদ টাকা","Bargeld","Cash","Efectivo","پول نقد","Espèces","नकद","Contanti","現金","현금","ငွေသား","Dinheiro","Наличные","Lacag caddaan","Nakit Para","Готівка","نقد رقم","现金"
categories.fixed.compass_map,"ኮምፓስ እና ካርታ","بوصلة وخريطة","দিক-নির্দেশক ও মানচিত্র","Kompass & Karte","Compass & Map","Brújula y mapa","قطب‌نما و نقشه","Boussole et carte","कंपास और नक्शा","Bussola e mappa","コンパスと地図","나침반과 지도","တံဆိပ်နှင့် မြေပုံ","Bússola e mapa","Компас и карта","Kambaas iyo khariidad","Pusula ve Harita","Компас і карта","کمپاس اور نقشہ","指南针与地图"
categories.fixed.documents,"ሰነዶች እና መታወቂያዎች","وثائق وهويات","দলিল ও পরিচয়পত্র","Dokumente & Ausweise","Documents & IDs","Documentos e identificaciones","مدارک و شناسنامه‌ها","Documents et pièces d'identité","दस्तावेज़ और पहचान पत्र","Documenti e identificazioni","書類・身分証明書","서류 및 신분증","စာရွက်စာတမ်းနှင့် ကိုယ်ပိုင်အထောက်အထား","Documentos e identificações","Документы и удостоверения","Dukumeentiyo & aqoonsiyo","Kimlik ve Resmi Belgeler","Документи та посвідчення","دستاویزات اور شناختی کارڈ","证件与身份证明"
categories.fixed.dust_mask,"የትቢያ ማስክ","قناع غبار","ধুলো মাস্ক","Staubmaske","Dust Mask","Mascarilla antipolvo","ماسک گرد و غبار","Masque anti-poussière","धूल मास्क","Mascherina antipolvere","防塵マスク","방진 마스크","ဖုန်ကာမျက်နှာဖုံး","Máscara anti-pó","Респиратор","Maaskaro boor","Toz Maskesi","Протипилова маска","دھول ماسک","防尘口罩"
categories.fixed.first_aid_kit,"የመጀመሪያ እገዛ ሳጥን","حقيبة إسعافات أولية","প্রথম চিকিৎসা কিট","Erste-Hilfe-Set","First Aid Kit","Botiquín","جعبه کمک‌های اولیه","Trousse de secours","प्राथमिक उपचार किट","Kit di pronto soccorso","救急セット","구급 상자","အရေးပေါ်ဆေးပစ္စည်းအထုပ်","Kit de primeiros socorros","Аптечка","Qalabka gargaarka degdegga","İlk Yardım Çantası","Аптечка","فرسٹ ایڈ کٹ","急救包"
categories.fixed.flashlight,"ፍራንጣ","مصباح يدوي","টর্চলাইট","Taschenlampe","Flashlight","Linterna","چراغ قوه","Lampe de poche","टॉर्च","Torcia","懐中電灯","손전등","မီးလင်းတိုင်","Lanterna","Фонарик","Faynuus","El Feneri","Ліхтарик","ٹارچ","手电筒"
categories.fixed.food,"ምግብ","مواد غذائية","খাবার","Lebensmittel","Food","Alimentos","مواد غذایی","Nourriture","खाद्य सामग्री","Alimenti","食料","식량","အစားအစာ","Alimentos","Продукты","Cunto","Gıda","Продукти","خوراک","食品"
categories.fixed.handgun,"ፒስቶል","مسدس","পিস্তল","Pistole","Handgun","Pistola","اسلحه کمری","Pistolet","पिस्तौल","Pistola","ハンドガン","권총","လက်ကိုင်သေနတ်","Pistola","Пистолет","Bastoolad","Tabanca","Пістолет","پستول","手枪"
categories.fixed.handgun_ammo,"የፒስቶል ሽርጭት","ذخيرة مسدس","পিস্তলের গুলি","Pistolenmunition","Handgun Ammunition","Munición de pistola","مهمات اسلحه کمری","Munitions de pistolet","पिस्तौल की गोलियां","Munizioni per pistola","ハンドガン弾薬","권총 탄약","လက်ကိုင်သေနတ်ကျည်","Munição para pistola","Пистолетные патроны","Rasaasta bastooladda","Tabanca Mermisi","Пістолетні набої","پستول کے کارتوس","手枪弹药"
categories.fixed.lead_free_ammo,,,,,,,,,,,,,"သံမပါသော သေနတ်ကျည်",,,"Rasaas aan leed lahayn",,"Безсвинцеві набої",,
categories.fixed.lighter,"ላይተር","ولاعة","লাইটার","Feuerzeug","Lighter","Encendedor","فندک","Briquet","लाइटर","Accendino","ライター","라이터","မီးထွေး","Isqueiro","Зажигалка","Dab-qabad","Çakmak","Запальничка","لائٹر","打火机"
categories.fixed.matches,"ማችስ","أعواد ثقاب","ম্যাচ","Streichhölzer","Matches","Fósforos","کبریت","Allumettes","माचिस","Fiammiferi","マッチ","성냥","မီးတိုင်","Fósforos","Спички","Shumacyo","Kibrit","Сірники","ماچس","火柴"
categories.fixed.multi_tool,"ብዙ ተግባር መሳሪያ","أداة متعددة","মাল্টি-টুল","Multifunktionswerkzeug","Multi-Tool","Herramienta multifunción","ابزار چندکاره","Outil multifonction","मल्टी-टूल","Multifunzione","マルチツール","멀티툴","စွမ်းဆောင်ချက်များစွာရှိသော ကိရိယာ","Ferramenta multifuncional","Мультитул","Qalab badan","Çok Amaçlı Çakı","Мультитул","ملٹی ٹول","多功能工具"
categories.fixed.nuts,"እንኩር ፍሬ","مكسرات","বাদাম","Nüsse","Nuts","Frutos secos","آجیل","Noix","मेवे","Frutta secca","ナッツ","견과류","အမံ့မျိုး","Nozes","Орехи","Lows","Kuruyemiş","Горіхи","میوے","坚果"
categories.fixed.rifle,"ጠመንጃ","بندقية","রাইফেল","Gewehr","Rifle","Rifle","تفنگ","Fusil","राइफल","Fucile","ライフル","소총","ရိုင်ဖယ်သေနတ်","Rifle","Винтовка","Qori dheer","Tüfek","Гвинтівка","رائفل","步枪"
categories.fixed.rifle_ammo,"የጠመንጃ ሽርጭት","ذخيرة بندقية",,"Gewehrmunition","Rifle Ammunition","Munición de rifle","مهمات تفنگ","Munitions de fusil","राइफल की गोलियां","Munizioni per fucile",,"소총 탄약","ရိုင်ဖယ်သေနတ်ကျည်","Munição para rifle","Винтовочные патроны","Rasaasta qoriga dheer","Tüfek Mermisi","Гвинтівкові набої",,"步枪弹药"
categories.fixed.sanitary_pad,"የጤና መጠጊያ","فوط صحية","স্যানিটারি প্যাড","Damenbinde","Sanitary Pad","Toalla sanitaria","نوار بهداشتی","Serviette hygiénique","सेनेट्री पैड","Assorbente","生理用ナプキン","생리대","သန့်စင်ရေးခင်း","Absorvente","Гигиенические прокладки","Daboolka caadada","Hijyenik Ped","Гігієнічні прокладки","سینیٹری پیڈ","卫生巾"
categories.fixed.shot_shells,,,,,,,,,,,,,"ရှော့ဂန်ကျည်",,,"Rasaasta qori gaaban",,"Набої для дробовика",,
categories.fixed.sleeping_bag,"የእንቅልፍ ቦርሳ","كيس نوم","স্লিপিং ব্যাগ","Schlafsack","Sleeping Bag","Saco de dormir","کیسه خواب","Sac de couchage","सोने का बैग","Sacco a pelo","寝袋","침낭","အိပ်အိတ်","Saco de dormir","Спальный мешок","Bac hurdo","Uyku Tulumu","Спальний мішок","سلیپنگ بیگ","睡袋"
categories.fixed.slug_rounds,,,,,,,,,,,,,"Slug ကျည်",,,"Rasaas slug",,"Пулі «слуг»",,
categories.fixed.soap,"ሳሙና","صابون","সাবান","Seife","Soap","Jabón","صابون","Savon","साबुन","Sapone","石けん","비누","ဆပ်ပြာ","Sabão","Мыло","Saabuun","Sabun","Мило","صابون","肥皂"
categories.fixed.spare_clothes,"ተጨማሪ ልብስ","ملابس احتياطية","অতিরিক্ত পোশাক","Wechselkleidung","Spare Clothes","Ropa de repuesto","لباس اضافه","Vêtements de rechange","अतिरिक्त कपड़े","Vestiti di ricambio","替えの衣類","여벌 옷","အဝတ်အထည်ထပ်","Roupas de reserva","Запасная одежда","Dharka kaydka","Yedek Kıyafet","Запасний одяг","اضافی کپڑے","备用衣物"
categories.fixed.toilet_paper,"የመጸዳጃ ወረቀት","مناديل حمام","টয়লেট পেপার","Toilettenpapier","Toilet Paper","Papel higiénico","دستمال توالت","Papier toilette","टॉयलेट पेपर","Carta igienica","トイレットペーパー","화장지","အိမ်သာစက္ကူ","Papel higiênico","Туалетная бумага","Warqadda musqusha","Tuvalet Kağıdı","Туалетний папір","ٹائلٹ پیپر","卫生纸"
categories.fixed.toothbrush_toothpaste,"የጥርስ ብሩሽ እና የጥርስ ቅባት","فرشاة ومعجون أسنان","টুথব্রাশ ও টুথপেস্ট","Zahnbürste & Zahnpasta","Toothbrush & Toothpaste","Cepillo y pasta de dientes","مسواک و خمیر دندان","Brosse et dentifrice","टूथब्रश और टूथपेस्ट","Spazzolino e dentifricio","歯ブラシと歯みがき粉","칫솔과 치약","သွားတိုက်တံနှင့် သွားတိုက်ပေါင်း","Escova e pasta de dentes","Зубная щётка и паста","Burushka iligga & daawada iligga","Diş Fırçası ve Macunu","Зубна щітка та паста","ٹوٹھ برش اور ٹوتھ پیسٹ","牙刷和牙膏"
categories.fixed.trash_bag,"የቆሻሻ ቦርሳ","أكياس قمامة","আবর্জনার ব্যাগ","Müllbeutel","Trash Bags","Bolsas de basura","کیسه زباله","Sacs poubelle","कचरे के बैग","Sacchi della spazzatura","ゴミ袋","쓰레기봉투","အမှိုက်အိတ်","Sacos de lixo","Мешки для мусора","Bacaha qashinka","Çöp Torbası","Сміттєві пакети","کچرے کے تھیلے","垃圾袋"
categories.fixed.water,"መጠጥ ውሃ","مياه للشرب","পানীয় জল","Wasser","Water","Agua","آب آشامیدنی","Eau","पीने का पानी","Acqua","飲料水","식수","သောက်သုံးရေ","Água","Вода","Biyo la cabi karo","Su","Вода","پینے کا پانی","饮用水"
categories.fixed.water_purification_tablets,"የውሃ ማጽዳት ክኒኖች","أقراص تنقية المياه","জল বিশুদ্ধকরণ ট্যাবলেট","Wasserreinigungstabletten","Water Purification Tablets","Tabletas purificadoras de agua","قرص تصفیه آب","Comprimés purificateurs d'eau","जल शुद्धिकरण गोलियां","Compresse depuratrici d'acqua","浄水タブレット","정수 정제","ရေသန့်စင်ခြင်း တက်ဘလက်","Comprimidos purificadores de água","Таблетки для очистки воды","Kiniinada nadiifinta biyaha","Su Arıtma Tabletleri","Таблетки для очищення води","پانی صاف کرنے کی گولیاں","净水片"
categories.fixed.water_purifier,"የውሃ ማጣሪያ","منقّي مياه","জল বিশুদ্ধকারী যন্ত্র","Wasserfilter","Water Purifier","Purificador de agua","تصفیه‌کننده آب","Purificateur d'eau","जल शुद्धिकरण उपकरण","Purificatore d'acqua","浄水器","정수기","ရေသန့်စင်စက်","Purificador de água","Фильтр для воды","Makiinadda sifaynta biyaha","Taşınabilir Su Arıtma Cihazı","Фільтр для води","پانی صاف کرنے والا آلہ","净水器"
categories.fixed.wet_wipes,"እርጥብ ቶሎቶሎ","مناديل مبللة","ভেজা টিস্যু","Feuchttücher","Wet Wipes","Toallitas húmedas","دستمال مرطوب","Lingettes humides","गीले वाइप्स","Salviettine umidificate","ウェットティッシュ","물티슈","စိုစွတ်သုတ်ပွတ်","Lenços umedecidos","Влажные салфетки","Tuwaalo qoyan","Islak Mendil","Вологі серветки","گیلے وائپس","湿巾"
categories.fixed.work_gloves,"የሥራ ጓንት","قفازات عمل","কাজের দস্তানা","Arbeitshandschuhe","Work Gloves","Guantes de trabajo","دستکش کار","Gants de travail","काम के दस्ताने","Guanti da lavoro","作業用手袋","작업용 장갑","အလုပ်လက်အိတ်","Luvas de trabalho","Рабочие перчатки","Galoofyada shaqada","İş Eldiveni","Робочі рукавиці","کام کے دستانے","工作手套"
category,"ምድብ","الفئة","বিভাগ","Kategorie","Category","Categoría","دسته‌بندی","Catégorie","श्रेणी","Categoria","カテゴリ","카테고리","အမျိုးအစား","Categoria","Категория","Qeybta","Kategori","Категорія","زمرہ","类别"
common.add,"ጨምር","إضافة","যোগ করুন","Hinzufügen","Add","Agregar","افزودن","Ajouter","जोड़ें","Aggiungi","追加","추가","ထည့်ပါ",,"Добавить","Ku dar","Ekle","Додати","شامل کریں","添加"
common.back,,,,,"Back",,,,,,,,,,,,"Geri",,,
common.cancel,"ሰርዝ","إلغاء","বাতিল","Abbrechen","Cancel","Cancelar","لغو","Annuler","रद्द करें","Annulla","キャンセル","취소","ဖျက်သိမ်းပါ",,"Отмена","Baabi'i","İptal","Скасувати","منسوخ","取消"
common.close,"ዝጋ","إغلاق","বন্ধ করুন","Schließen","Close","Cerrar","بستن","Fermer","बंद करें","Chiudi","閉じる","닫기","ပိတ်ပါ",,"Закрыть","Xir","Kapat","Закрити","بند کریں","关闭"
common.confirm,"አረጋግጥ","تأكيد","নিশ্চিত করুন","Bestätigen","Confirm","Confirmar","تأیید","Confirmer","पुष्टि करें","Conferma","確認","확인","အတည်ပြုပါ",,"Подтвердить","Xaqiiji","Onayla","Підтвердити","تصدیق","确认"
common.remove,"አስወግድ","إزالة","সরান","Entfernen","Remove","Quitar","حذف","Supprimer","हटाएं","Rimuovi","削除","제거","ထုတ်ပါ",,"Удалить","Ka saar","Kaldır","Видалити","ہٹائیں","移除"
common.update,"አዘምን","تحديث","আপডেট","Aktualisieren","Update","Actualizar","به‌روزرسانی","Mettre à jour","अपडेट करें","Aggiorna","更新","업데이트","အဆင့်မြှင့်ပါ",,"Обновить","Cusbooneysii","Güncelle","Оновити","اپڈیٹ","更新"
delete,"ሰርዝ","حذف","মুছুন","Löschen","Delete","Eliminar","حذف","Supprimer","हटाएं","Elimina","削除","삭제","ဖျက်ပါ","Excluir","Удалить","Tirtir","Sil","Видалити","حذف کریں","删除"
depot.areas,"የመጋዘን አካባቢዎች","مناطق التخزين","ডিপো এলাকা","Lagerbereiche","Storage Areas","Áreas de Almacenamiento","مناطق انبار","Zones de Stockage","भंडारण क्षेत्र","Aree di Stoccaggio","倉庫エリア","창고 구역","ကုန်လှောင်ရုံ နေရာများ",,"Складские зоны","Meelaha Bakhaarrada","Depo Alanları","Зони складу","ڈپو علاقے","存储区域"
depot.backup,"ምትኬ መጋዘን","المستودع الاحتياطي","ব্যাকআপ ডিপো","Backup-Depot","Backup Depot","Depósito de Respaldo","انبار پشتیبان","Dépôt de Sauvegarde","बैकअप डिपो","Deposito Backup","バックアップ倉庫","백업 창고","အရံကုန်လှောင်ရုံ",,"Резервный склад","Bakhaar Kaydin","Yedek Depo","Резервний склад","بیک اپ ڈپو","备用仓库"
